epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.544,0.56507,2.79012,1.11334,0.00804,0.95902,0.85103,0.70835,0.53688,3.23191,1.1491,0.00023338,0.00023338,0.00023338
2,301.542,0.42758,1.73409,1.03015,0.96971,0.2624,0.8143,0.66216,0.65453,3.17987,1.2193,0.00043557,0.00043557,0.00043557
3,450.11,0.50981,1.67693,1.05681,0.66973,0.54918,0.62193,0.46172,1.06168,2.99103,1.68669,0.000588251,0.000588251,0.000588251
4,600.908,0.49773,1.61607,1.0372,0.76461,0.61475,0.73985,0.60723,0.71498,2.44277,1.2601,0.000691422,0.000691422,0.000691422
5,748.517,0.52845,1.43741,1.03609,0.87718,0.81957,0.90201,0.74958,0.64478,1.81818,1.26208,0.000745082,0.000745082,0.000745082
6,895.266,0.50109,1.36467,1.02652,0.90225,0.68094,0.84782,0.71843,0.7487,1.80262,1.31756,0.000749233,0.000749233,0.000749233
7,1043.68,0.50653,1.33683,1.02401,0.83563,0.70844,0.79778,0.62111,0.95817,1.97857,1.51286,0.000676802,0.000676802,0.000676802
8,1189.91,0.46538,1.19046,0.99595,0.89119,0.85246,0.91484,0.77837,0.63674,1.51075,1.17496,0.000511769,0.000511769,0.000511769
9,1337.35,0.40542,1.11556,0.96369,0.9249,0.86066,0.93225,0.84008,0.50273,1.3813,1.03817,0.000346736,0.000346736,0.000346736
10,1483.44,0.35995,1.05748,0.92546,0.94878,0.90984,0.95911,0.88404,0.44623,1.18751,0.99614,0.000181703,0.000181703,0.000181703
